Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing Select value x,Availability Select value x,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Salah,Midfielder,Liverpool,13,106,8.2,5,7.7,0.6,8.2,142.6,323,2,4,,100,Available,,48.9,3145424,132365,1051430,14496,1134,10,5,4,10,0.79,0,0,1,1,0,0,14,508.6,396.8,519,1,,308,"Fri Dec 1, 18:15:03"
Haaland,Forward,Man City,14,103,7.9,7,8,0.6,9,147,400,1,3,,100,Available,,83.2,1010937,126093,1509543,11480,1114,14,3,4,12,0.97,0,0,1,0,0,0,15,562.8,172.6,733,1,"Sat Nov 18, 18:00",355,"Fri Dec 1, 18:15:03"
Watkins,Forward,Aston Villa,8.5,85,6.5,5,4.3,0.5,2.1,118.3,289,2,,,50,Doubtful,Muscle injury - 50% chance of playing,42.9,3752620,77385,1872483,147389,1130,7,8,2,18,1.43,0,0,0,2,0,0,9,378.8,253.6,550,1,"Thu Nov 30, 23:30",60,"Fri Dec 1, 18:15:02"
Son,Midfielder,Spurs,9.6,84,6.5,2,2,0.2,1,106.9,264,1,3,,100,Available,,37.9,4566386,31523,1471117,304255,1066,8,1,4,16,1.35,0,0,0,0,0,0,11,365.2,289.6,416,1,"Fri Sep 29, 13:30",516,"Fri Dec 1, 18:15:03"
Saka,Midfielder,Arsenal,8.8,79,6.6,8,5,0.6,5.5,121.7,293,1,,1,100,Available,,54.4,2884680,219387,3310454,23647,1035,4,7,5,10,0.87,0,0,0,1,0,0,10,368.8,491.6,357,1,"Thu Nov 9, 08:30",19,"Fri Dec 1, 18:15:02"
Mbeumo,Midfielder,Brentford,7,76,5.8,2,3,0.4,3.5,111.3,216,2,2,1,100,Available,,28.9,4144410,449446,2236509,33210,1170,6,3,3,18,1.38,0,0,0,1,0,0,9,335.6,373.1,405,1,"Sun Aug 6, 23:30",108,"Fri Dec 1, 18:15:03"
Bowen,Midfielder,West Ham,7.6,75,6.2,0,5,0.7,2.5,99.3,227,4,,2,50,Doubtful,Knee injury - 50% chance of playing,22.2,3592769,9994,1879889,505073,1080,8,1,1,22,1.83,0,0,0,1,0,0,8,381,134,478,1,"Sun Nov 19, 22:30",526,"Fri Dec 1, 18:15:03"
Trippier,Defender,Newcastle,7,70,5.4,1,3.7,0.5,3.7,93.7,333,,1,1,100,Available,,49.5,3134965,34936,1488317,80064,1127,0,6,5,14,1.12,0,0,0,4,0,0,15,347.8,548.9,40,1,,430,"Fri Dec 1, 18:15:03"
Gordon,Midfielder,Newcastle,5.9,69,5.8,13,7.3,1.2,7.3,76.2,210,,,2,100,Available,,14.9,2138143,380059,706065,13344,970,5,5,6,10,0.93,0,0,0,6,0,0,6,308.4,164.4,293,,"Sat Sep 30, 18:30",412,"Fri Dec 1, 18:15:03"
J.Alvarez,Forward,Man City,7,68,5.2,2,3,0.4,4,102.5,286,3,2,2,100,Available,,30.3,4295600,30173,1931238,202426,1076,4,6,5,10,0.84,0,0,0,2,0,0,11,281.4,448.3,295,,,343,"Fri Dec 1, 18:15:03"
