Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing,Availability,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Salah,Midfielder,Liverpool,13.2,130,7.6,3,5.8,0.4,5.8,188.3,387,2,4,,100,Available,,53.8,3751931,68363,1154391,14615,1470,11,7,6,14,0.86,0,0,1,1,0,0,17,626.6,539.5,715,1,,308,"Tue Dec 19, 16:15:01"
Son,Midfielder,Spurs,9.8,115,6.8,2,6.6,0.7,6.6,150,368,1,3,,100,Available,,42.3,5649490,113488,2123930,22162,1420,10,4,6,21,1.33,1,0,0,1,0,0,16,526,416.5,558,1,"Fri Dec 8, 00:00",516,"Tue Dec 19, 16:15:02"
Haaland,Forward,Man City,13.9,112,7.5,0,3.2,0.2,0,159.8,417,1,3,,50,Doubtful,Foot injury - 50% chance of playing,65.9,1248765,7416,3471282,421551,1294,14,5,4,16,1.11,0,0,1,1,0,0,15,588.6,197.5,810,1,"Sun Dec 10, 18:00",355,"Tue Dec 19, 16:15:01"
Watkins,Forward,Aston Villa,8.6,108,6.4,9,5.6,0.7,6.1,149.7,370,2,,,100,Available,,47.3,4947163,366892,2638684,6938,1489,9,9,4,21,1.27,0,0,0,3,0,0,14,490,321.7,684,1,"Thu Nov 30, 23:30",60,"Tue Dec 19, 16:15:01"
Saka,Midfielder,Arsenal,9,97,6.1,3,5.2,0.6,5.2,164.2,361,1,,1,100,Available,,58.6,3575353,27087,3535809,43470,1393,5,8,6,15,0.97,0,0,0,1,0,0,11,481.8,634.1,525,1,"Thu Nov 9, 08:30",19,"Tue Dec 19, 16:15:01"
Bowen,Midfielder,West Ham,7.7,94,5.9,8,3.8,0.5,3.3,126.5,266,4,,2,100,Available,,21.8,4241635,53478,2581167,29479,1440,10,1,2,29,1.81,0,0,0,1,0,0,8,486.8,170,608,1,"Sun Nov 19, 22:30",526,"Tue Dec 19, 16:15:02"
Gordon,Midfielder,Newcastle,6.2,89,5.6,6,6.6,1.1,7.6,110.6,281,,,2,100,Available,,24.5,3469367,127524,1032891,22921,1306,6,6,8,16,1.1,0,0,0,6,0,0,8,395.2,292.9,422,1,"Thu Dec 14, 00:30",412,"Tue Dec 19, 16:15:01"
Mbeumo,Midfielder,Brentford,6.9,87,5.8,0,2.6,0.4,0,122.1,250,2,2,1,0,Injured,Ankle injury - Expected back 09 Mar,9.8,4622340,270,4686529,136657,1286,7,4,3,20,1.4,0,0,0,1,0,0,9,384.2,397.6,440,,"Wed Dec 6, 23:30",108,"Tue Dec 19, 16:15:01"
Alexander-Arnold,Defender,Liverpool,8.2,84,5.6,9,9.2,1.1,9.2,108.9,373,,1,1,100,Available,,17.1,1312187,72965,1372352,9456,1228,2,3,6,12,0.88,0,0,0,3,0,0,15,345.2,616.2,127,1,"Mon Sep 4, 05:00",290,"Tue Dec 19, 16:15:01"
J.Alvarez,Forward,Man City,6.9,82,4.8,2,3.2,0.5,0,128,333,3,2,2,100,Available,,29.2,4865152,51587,2594508,212977,1409,4,8,6,15,0.96,0,0,0,2,0,0,11,345,595.9,339,,,343,"Tue Dec 19, 16:15:01"
